"Periodo","edades","sexo","valor"
1908,"0","Hombres",303915.69
1908,"0","Mujeres",293127.94
1908,"1","Hombres",268001.04
1908,"1","Mujeres",265371.18
1908,"2","Hombres",254761.14
1908,"2","Mujeres",247724.96
1908,"3","Hombres",249420.63
1908,"3","Mujeres",248120.89
1908,"4","Hombres",245973.37
1908,"4","Mujeres",243290.22
1908,"5","Hombres",246377.85
1908,"5","Mujeres",242399.84
1908,"6","Hombres",220680.87
1908,"6","Mujeres",216872.95
1908,"7","Hombres",236969.63
1908,"7","Mujeres",236416.82
1908,"8","Hombres",197558.69
1908,"8","Mujeres",194955.93
1908,"9","Hombres",221148.67
1908,"9","Mujeres",222896.94
1908,"10","Hombres",198535.36
1908,"10","Mujeres",198533.61
1908,"11","Hombres",203900.88
1908,"11","Mujeres",202979.02
1908,"12","Hombres",181938.28
1908,"12","Mujeres",187624.58
1908,"13","Hombres",175181.72
1908,"13","Mujeres",188157.03
1908,"14","Hombres",174841.35
1908,"14","Mujeres",179472.21
1908,"15","Hombres",185408.24
1908,"15","Mujeres",206642.43
1908,"16","Hombres",150094.6
1908,"16","Mujeres",166301.02
1908,"17","Hombres",159047.5
1908,"17","Mujeres",205048.93
1908,"18","Hombres",142043.68
1908,"18","Mujeres",148034.16
1908,"19","Hombres",172388.84
1908,"19","Mujeres",182553.7
1908,"20","Hombres",165302.06
1908,"20","Mujeres",162157.68
1908,"21","Hombres",154683.97
1908,"21","Mujeres",176965.33
1908,"22","Hombres",152667.9
1908,"22","Mujeres",173355.94
1908,"23","Hombres",149750.44
1908,"23","Mujeres",165582.46
1908,"24","Hombres",136899.14
1908,"24","Mujeres",142151.11
1908,"25","Hombres",151952.03
1908,"25","Mujeres",171922.87
1908,"26","Hombres",119062.57
1908,"26","Mujeres",125497.83
1908,"27","Hombres",186448.59
1908,"27","Mujeres",225171.13
1908,"28","Hombres",99016.75
1908,"28","Mujeres",101007.93
1908,"29","Hombres",134714.23
1908,"29","Mujeres",146178.93
1908,"30","Hombres",122566.8
1908,"30","Mujeres",125805.14
1908,"31","Hombres",124604.7
1908,"31","Mujeres",138680.29
1908,"32","Hombres",127383.97
1908,"32","Mujeres",139303.65
1908,"33","Hombres",127382.98
1908,"33","Mujeres",146073.67
1908,"34","Hombres",105181.78
1908,"34","Mujeres",112612.36
1908,"35","Hombres",127742.74
1908,"35","Mujeres",141065.61
1908,"36","Hombres",97855.1
1908,"36","Mujeres",100220.9
1908,"37","Hombres",194087.75
1908,"37","Mujeres",219796.09
1908,"38","Hombres",78849.72
1908,"38","Mujeres",79079.46
1908,"39","Hombres",113585.43
1908,"39","Mujeres",119135.82
1908,"40","Hombres",89039.83
1908,"40","Mujeres",92243.21
1908,"41","Hombres",108023.43
1908,"41","Mujeres",115814.63
1908,"42","Hombres",124467.24
1908,"42","Mujeres",125006.96
1908,"43","Hombres",104329.23
1908,"43","Mujeres",113969.14
1908,"44","Hombres",85321.29
1908,"44","Mujeres",88104.97
1908,"45","Hombres",110996.64
1908,"45","Mujeres",121712.52
1908,"46","Hombres",84984.5
1908,"46","Mujeres",83464.36
1908,"47","Hombres",174834.74
1908,"47","Mujeres",203284.16
1908,"48","Hombres",69732.21
1908,"48","Mujeres",66579.06
1908,"49","Hombres",91718.15
1908,"49","Mujeres",96016.38
1908,"50","Hombres",70943.88
1908,"50","Mujeres",71034.52
1908,"51","Hombres",82473.88
1908,"51","Mujeres",94941.63
1908,"52","Hombres",89106.73
1908,"52","Mujeres",92774.73
1908,"53","Hombres",86192.71
1908,"53","Mujeres",96246.45
1908,"54","Hombres",64983.06
1908,"54","Mujeres",68784.26
1908,"55","Hombres",82041.84
1908,"55","Mujeres",93167.31
1908,"56","Hombres",62057.83
1908,"56","Mujeres",62016.46
1908,"57","Hombres",142061.81
1908,"57","Mujeres",183134.45
1908,"58","Hombres",56014.26
1908,"58","Mujeres",54668.58
1908,"59","Hombres",71236.9
1908,"59","Mujeres",74594.02
1908,"60","Hombres",57943.8
